,School,City,County
325,First Lutheran High School,Sylmar,los angeles
326,First Presbyterian School,Arcadia,los angeles
327,Frederick K.C. Price III Christian Schools,Los Angeles,los angeles
328,Glendale Adventist Academy,Glendale,los angeles
329,Hillcrest Christian School,Granada Hills,los angeles
330,Judson International School,Eagle Rock,los angeles
331,Lighthouse Christian Academy,Santa Monica,los angeles
332,Los Angeles Adventist Academy,Los Angeles,los angeles
333,Los Angeles Baptist High School,North Hills,los angeles
334,Los Angeles Lutheran High School,Sylmar,los angeles
335,Lutheran High School,La Verne,los angeles
336,Maranatha High School,Pasadena,los angeles
337,Oaks Christian High School,Westlake Village,los angeles
338,Pacific Christian on the Hill,Los Angeles,los angeles
339,Pacific Lutheran High School,Torrance,los angeles
340,Pacifica Christian High School,Santa Monica,los angeles
341,Pilgrim School,Los Angeles,los angeles
342,San Gabriel Adventist Academy,San Gabriel,los angeles
343,Santa Clarita Christian School,Santa Clarita,los angeles
344,South Bay Lutheran High School,Inglewood,los angeles
345,Trinity Lutheran Junior/Senior School,Reseda,los angeles
346,Valley Christian High School,Cerritos,los angeles
347,Village Christian Schools,Sun Valley,los angeles
348,Bais Chana High School,Los Angeles,los angeles
349,Bais Yaakov of Los Angeles,Los Angeles,los angeles
350,Bnos Devorah High School,Los Angeles,los angeles
351,Mesivta of Greater Los Angeles,Calabasas,los angeles
