,School,City,County
1264,Escalon High School,Escalon,san joaquin
1265,Mountain House High School,Mountain House,san joaquin
1266,Lincoln High School,Stockton,san joaquin
1267,Linden High School,Linden,san joaquin
1268,Lodi Academy,Lodi,san joaquin
1269,Bear Creek High School,Stockton,san joaquin
1270,Lodi High School,Lodi,san joaquin
1271,Middle College High School,Stockton,san joaquin
1272,Ronald E. McNair High School,Stockton,san joaquin
1273,Tokay High School,Lodi,san joaquin
1274,Calla Alternative High School,Manteca,san joaquin
1275,East Union High School,Manteca,san joaquin
1276,Lathrop High School,Lathrop,san joaquin
1277,Manteca Day School,Manteca,san joaquin
1278,Manteca High School,Manteca,san joaquin
1279,New Vision Alternative High School,Stockton,san joaquin
1280,Sierra High School,Manteca,san joaquin
1281,Weston Ranch High School,Stockton,san joaquin
1282,Ripon High School,Ripon,san joaquin
1283,St. Mary's High School,Stockton,san joaquin
1284,Amos Alonzo Stagg High School,Stockton,san joaquin
1285,Cesar Chavez High School,Stockton,san joaquin
1286,Edison High School,Stockton,san joaquin
1287,Franklin High School,Stockton,san joaquin
1288,Stockton Collegiate International Schools,Stockton,san joaquin
1289,Stockton Early College Academy,Stockton,san joaquin
1290,John Kimball High School,Tracy,san joaquin
1291,Tracy High School,Tracy,san joaquin
1292,West High School,Tracy,san joaquin
1293,Atascadero High School,Atascadero,san luis obispo
1294,Del Rio Continuation High School,Atascadero,san luis obispo
1295,California Youth Authority,San Luis Obispo,san luis obispo
1296,Marie C. Romero High School,Paso Robles,san luis obispo
1297,Coast Union High School,Cambria,san luis obispo
1298,Leffingwell Continuation High School,Cambria,san luis obispo
1299,Arroyo Grande High School,Arroyo Grande,san luis obispo
1300,Lopez High School,Arroyo Grande,san luis obispo
1301,Nipomo High School,Nipomo,san luis obispo
1302,Central Coast New Tech High School,Nipomo,san luis obispo
1303,Liberty High School,Paso Robles,san luis obispo
1304,Paso Robles High School,Paso Robles,san luis obispo
1305,Morro Bay High School,Morro Bay,san luis obispo
1306,Pacific Beach High School,San Luis Obispo,san luis obispo
1307,San Luis Obispo High School,San Luis Obispo,san luis obispo
1308,Shandon High/Middle School,Shandon,san luis obispo
1309,Eagle Canyon High School,Templeton,san luis obispo
1310,Templeton High School,Templeton,san luis obispo
1311,Grizzly Challenge Charter School,San Luis Obispo,san luis obispo
1312,Mission College Preparatory,San Luis Obispo,san luis obispo
1313,North County Christian High School,Atascadero,san luis obispo
1314,San Luis Obispo Classical Academy,San Luis Obispo,san luis obispo
1315,Design Tech High School,Redwood Shores,san mateo
1316,Half Moon Bay High School,Half Moon Bay,san mateo
1317,Jefferson High School,Daly City,san mateo
1318,Oceana High School,Pacifica,san mateo
1319,Terra Nova High School,Pacifica,san mateo
1320,Westmoor High School,Daly City,san mateo
1321,Ravenswood High School,East Palo Alto,san mateo
1322,Urban Pioneer Experiential Academy,San Bruno,san mateo
1323,Aragon High School,San Mateo,san mateo
1324,Burlingame High School,Burlingame,san mateo
1325,Capuchino High School,San Bruno,san mateo
1326,Hillsdale High School,San Mateo,san mateo
1327,Mills High School,Millbrae,san mateo
1328,San Mateo High School,San Mateo,san mateo
1329,Carlmont High School,Belmont,san mateo
1330,Everest Public High School,Redwood City,san mateo
1331,Menlo-Atherton High School,Atherton,san mateo
1332,Sequoia High School,Redwood City,san mateo
1333,Summit Preparatory Charter High School,Redwood City,san mateo
1334,Woodside High School,Woodside,san mateo
1335,Baden High School,South San Francisco,san mateo
1336,El Camino High School,South San Francisco,san mateo
1337,South San Francisco High School,South San Francisco,san mateo
1338,Aurora High School,Redwood City,san mateo
1339,Crystal Springs Uplands School,Hillsborough,san mateo
1340,East Palo Alto Phoenix Academy,East Palo Alto,san mateo
1341,Eastside College Preparatory School,East Palo Alto,san mateo
1342,German-American International School,Menlo Park,san mateo
1343,Junípero Serra High School,San Mateo,san mateo
1344,Menlo School,Atherton,san mateo
1345,Mercy High School,Burlingame,san mateo
1346,Mid-Peninsula High School,Menlo Park,san mateo
1347,Notre Dame High School,Belmont,san mateo
1348,The Nueva School,Hillsborough,san mateo
1349,Pacific Rim International School,San Mateo,san mateo
1350,Pescadero High School,Pescadero,san mateo
1351,Sacred Heart Prep,Atherton,san mateo
1352,Woodside Priory School,Portola Valley,san mateo
1353,The Anacapa School,Santa Barbara,santa barbara
1354,Bishop Garcia Diego High School,Santa Barbara,santa barbara
1355,Cabrillo High School,Lompoc,santa barbara
1356,Carpinteria High School,Carpinteria,santa barbara
1357,Cate School,Carpinteria,santa barbara
1358,Cuyama Valley High School,New Cuyama,santa barbara
1359,Dos Pueblos High School,Goleta,santa barbara
1360,Ernest Righetti High School,Santa Maria,santa barbara
1361,Foothill Alternative High School,Carpinteria,santa barbara
1362,Laguna Blanca School,Santa Barbara,santa barbara
1363,Lion of Judah Christian Academy,Orcutt,santa barbara
1364,Lompoc High School,Lompoc,santa barbara
1365,Los Angeles Catholic Archdiocese,Santa Barbara,santa barbara
1366,Maple High School,Lompoc,santa barbara
1367,Midland School,Los Olivos,santa barbara
1368,Pioneer Valley High School,Santa Maria,santa barbara
1369,Rincon Continuation High School,Carpinteria,santa barbara
1370,St. Joseph High School,Santa Maria,santa barbara
1371,San Marcos High School,Santa Barbara,santa barbara
1372,Santa Barbara High School,Santa Barbara,santa barbara
1373,Santa Barbara Middle School,Santa Barbara,santa barbara
1374,Santa Maria High School,Santa Maria,santa barbara
1375,Santa Ynez Valley Union High School,Santa Ynez,santa barbara
1376,Valley Christian Academy,Santa Maria,santa barbara
1377,Boynton High School,San Jose,santa clara
1378,Branham High School,San Jose,santa clara
1379,Del Mar High School,San Jose,santa clara
1380,Leigh High School,San Jose,santa clara
1381,Prospect High School,Saratoga,santa clara
1382,Stellar Learning Academy,Campbell,santa clara
1383,Westmont High School,Campbell,santa clara
1384,Andrew P. Hill High School,San Jose,santa clara
1385,East Side Cadet Academy,San Jose,santa clara
1386,Evergreen Valley High School,San Jose,santa clara
1387,Independence High School,San Jose,santa clara
1388,James Lick High School,San Jose,santa clara
1389,MACSA Academia Calmecac School,San Jose,santa clara
1390,Mount Pleasant High School,San Jose,santa clara
1391,Oak Grove High School,San Jose,santa clara
1392,Piedmont Hills High School,San Jose,santa clara
1393,San Jose Conservation Corps Charter School,San Jose,santa clara
1394,Santa Teresa High School,San Jose,santa clara
1395,Silver Creek High School,San Jose,santa clara
1396,William C. Overfelt High School,San Jose,santa clara
1397,Yerba Buena High School,San Jose,santa clara
1398,Cupertino High School,Cupertino,santa clara
1399,Fremont High School,Sunnyvale,santa clara
1400,Homestead High School,Cupertino,santa clara
1401,Lynbrook High School,San Jose,santa clara
1402,Monta Vista High School,Cupertino,santa clara
1403,Christopher High School,Gilroy,santa clara
1404,Dr. TJ Owens Gilroy Early College Academy,Gilroy,santa clara
1405,Gilroy High School,Gilroy,santa clara
1406,MACSA Elementary Portal Leadership Academy,San Jose,santa clara
1407,Los Gatos High School,Los Gatos,santa clara
1408,Saratoga High School,Saratoga,santa clara
1409,Milpitas High School,Milpitas,santa clara
1410,Ann Sobrato High School,Morgan Hill,santa clara
1411,Live Oak High School,Morgan Hill,santa clara
1412,Los Altos High School,Los Altos,santa clara
1413,Mountain View High School,Mountain View,santa clara
1414,Silicon Valley Essential High School,Los Altos,santa clara
1415,Gunn High School,Palo Alto,santa clara
1416,Palo Alto High School,Palo Alto,santa clara
1417,Roman Catholic Diocese of San Jose,Santa Clara,santa clara
1418,Archbishop Mitty High School,San Jose,santa clara
1419,Bellarmine College Preparatory,San Jose,santa clara
1420,Notre Dame High School,San Jose,santa clara
1421,Presentation High School,San Jose,santa clara
1422,Saint Francis High School,Mountain View,santa clara
1423,Abraham Lincoln High School,San Jose,santa clara
1424,Downtown College Prep,San Jose,santa clara
1425,Gunderson High School,San Jose,santa clara
1426,Leland High School,San Jose,santa clara
1427,Middle College High,San Jose,santa clara
1428,Pioneer High School,San Jose,santa clara
1429,San Jose High Academy,San Jose,santa clara
1430,Willow Glen High School,San Jose,santa clara
1431,Adrian C. Wilcox High School,Santa Clara,santa clara
1432,Santa Clara High School,Santa Clara,santa clara
1433,Beacon School,San Jose,santa clara
1434,Cambrian Academy,San Jose,santa clara
1435,Castilleja School,Palo Alto,santa clara
1436,Communitas Charter High School,San Jose,santa clara
1437,The Harker School,San Jose,santa clara
1438,Kehillah Jewish High School,Palo Alto,santa clara
1439,The King's Academy,Sunnyvale,santa clara
1440,Liberty Baptist School,San Jose,santa clara
1441,Mountain View Academy,Mountain View,santa clara
1442,Oakwood High School,Morgan Hill,santa clara
1443,Our Shepherd's Academy,San Jose,santa clara
1444,Palo Alto Preparatory School,Palo Alto,santa clara
1445,Pine Hill School,San Jose,santa clara
1446,Pinewood School,Los Altos Hills,santa clara
1447,Thomas More School,San Jose,santa clara
1448,University Preparatory Academy,San Jose,santa clara
1449,Valley Christian High School,San Jose,santa clara
1450,White Road Baptist Academy,San Jose,santa clara
1451,Aptos High School,Aptos,santa cruz
1452,Costanoa Continuation High School,Santa Cruz,santa cruz
1453,Cypress Charter High School,Live Oak,santa cruz
1454,Delta Charter School,Santa Cruz,santa cruz
1455,Georgiana Bruce Kirby Preparatory School,Santa Cruz,santa cruz
1456,Harbor High School,Santa Cruz,santa cruz
1457,MCP Middle and High School,Santa Cruz,santa cruz
1458,Monte Vista Christian School,Watsonville,santa cruz
1459,Monterey Bay Academy,Watsonville,santa cruz
1460,Pacific Collegiate School,Santa Cruz,santa cruz
1461,Pajaro Valley High School,Watsonville,santa cruz
1462,Saint Francis Central Coast Catholic High School,Watsonville,santa cruz
1463,San Lorenzo Valley High School,Felton,santa cruz
1464,Santa Cruz High School,Santa Cruz,santa cruz
1465,Santa Cruz Waldorf High School,Santa Cruz,santa cruz
1466,Scotts Valley High School,Scotts Valley,santa cruz
1467,Soquel High School,Soquel,santa cruz
1468,Watsonville High School,Watsonville,santa cruz
1469,Anderson New Technology High School,Anderson,shasta
1470,Anderson Union High School,Anderson,shasta
1471,Bishop Quinn High School,Palo Cedro,shasta
1472,Burney High School,Burney,shasta
1473,Central Valley High School,Shasta Lake,shasta
1474,Enterprise High School,Redding,shasta
1475,Fall River High School,McArthur,shasta
1476,Foothill High School,Palo Cedro,shasta
1477,Liberty Christian High School,Redding,shasta
1478,Nawa Academy,French Gulch,shasta
1479,Redding Christian High School,Redding,shasta
1480,Shasta High School,Redding,shasta
1481,Stellar Charter School,Redding,shasta
1482,University Preparatory School,Redding,shasta
1483,West Valley High School,Cottonwood,shasta
1484,Downieville School,Downieville,sierra
1485,Loyalton High School,Loyalton,sierra
1486,Pliocene Ridge Junior-Senior High School,North San Juan,sierra
1487,Butte Valley High School,Dorris,siskiyou
1488,Cascade High School,Dorris,siskiyou
1489,Dunsmuir High School,Dunsmuir,siskiyou
1490,Etna High School,Etna,siskiyou
1491,Scott River High School,Etna,siskiyou
1492,Golden Eagle Charter School,Mount Shasta,siskiyou
1493,Happy Camp High School,Happy Camp,siskiyou
1494,Jefferson High School,Mount Shasta,siskiyou
1495,McButt High School,McButt,siskiyou
1496,Mount Shasta High School,Mount Shasta,siskiyou
1497,Weed High School,Weed,siskiyou
1498,Tulelake Continuation High School,Tulelake,siskiyou
1499,Tulelake High School,Tulelake,siskiyou
1500,Discovery High School,Yreka,siskiyou
1501,Yreka High School,Yreka,siskiyou
1502,Benicia High School,Benicia,solano
1503,Buckingham Charter Magnet High School,Vacaville,solano
1504,Dixon High School,Dixon,solano
1505,Angelo Rodriguez High School,Fairfield,solano
1506,Armijo High School,Fairfield,solano
1507,Fairfield High School,Fairfield,solano
1508,Sem Yeto High School,Fairfield,solano
1509,Hogan High School,Vallejo,solano
1510,Jesse M. Bethel High School,Vallejo,solano
1511,Mare Island Technology Academy,Vallejo,solano
1512,Mary Bird School,Fairfield,solano
1513,Rio Vista High School,Rio Vista,solano
1514,St. Patrick-St. Vincent High School,Vallejo,solano
1515,Vacaville Christian High School,Vacaville,solano
1516,Vacaville High School,Vacaville,solano
1517,Vallejo High School,Vallejo,solano
1518,Vanden High School,Fairfield,solano
1519,Will C. Wood High School,Vacaville,solano
1520,Analy High School,Sebastopol,sonoma
1521,Cardinal Newman High School,Santa Rosa,sonoma
1522,Casa Grande High School,Petaluma,sonoma
1523,Cloverdale High School,Cloverdale,sonoma
1524,El Camino High School,Rohnert Park,sonoma
1525,El Molino High School,Forestville,sonoma
1526,Elsie Allen High School,Santa Rosa,sonoma
1527,Geyserville Educational Park High School,Geyserville,sonoma
1528,Healdsburg High School,Healdsburg,sonoma
1529,Journey High School,Sebastopol,sonoma
1530,Maria Carrillo High School,Santa Rosa,sonoma
1531,Montgomery High School,Santa Rosa,sonoma
1532,Nonesuch High School,Sebastopol,sonoma
1533,Petaluma High School,Petaluma,sonoma
1534,Piner High School,Santa Rosa,sonoma
1535,Rancho Cotate High School,Rohnert Park,sonoma
1536,Rincon Valley Christian School,Santa Rosa,sonoma
1537,Rio Lindo Adventist Academy,Healdsburg,sonoma
1538,Roseland University Prep,Santa Rosa,sonoma
1539,Russian River Charter School,Forestville,sonoma
1540,St. Vincent de Paul High School,Petaluma,sonoma
1541,Santa Rosa High School,Santa Rosa,sonoma
1542,Sonoma Academy,Santa Rosa,sonoma
1543,Sonoma Mountain High School,Petaluma,sonoma
1544,Sonoma Valley High School,Sonoma,sonoma
1545,Summerfield Waldorf High School Santa Rosa,Sonoma,sonoma
1546,Technology High School,Rohnert Park,sonoma
1547,Ursuline High School,Santa Rosa,sonoma
1548,Windsor High School,Windsor,sonoma
1549,Windsor Oaks Academy,Windsor,sonoma
1550,Big Valley Grace Christian High School,Modesto,stanislaus
1551,Brethren Heritage School,Modesto,stanislaus
1552,Central Catholic High School,Modesto,stanislaus
1553,Central Valley High School,Ceres,stanislaus
1554,Ceres High School,Ceres,stanislaus
1555,Community Middle College,Modesto,stanislaus
1556,Denair High School,Denair,stanislaus
1557,Fred C. Beyer High School,Modesto,stanislaus
1558,Grace M. Davis High School,Modesto,stanislaus
1559,Hughson Union High School,Hughson,stanislaus
1560,James C. Enochs High School,Modesto,stanislaus
1561,John H. Pitman High School,Turlock,stanislaus
1562,Joseph Gregori High School,Modesto,stanislaus
1563,Keyes to Learning Charter School,Keyes,stanislaus
1564,Modesto Christian High School,Modesto,stanislaus
1565,Modesto High School,Modesto,stanislaus
1566,Oakdale High School,Oakdale,stanislaus
1567,Orestimba High School,Newman,stanislaus
1568,Patterson High School,Patterson,stanislaus
1569,Peter Johansen High School,Modesto,stanislaus
1570,Riverbank High School,Riverbank,stanislaus
1571,Thomas Downey High School,Modesto,stanislaus
1572,Turlock Christian High School,Turlock,stanislaus
1573,Turlock High School,Turlock,stanislaus
1574,Valley Business High School,Modesto,stanislaus
1575,Waterford High School,Waterford,stanislaus
1576,East Nicolaus High School,Nicolaus,sutter
1577,Faith Christian Junior-Senior High School,Yuba City,sutter
1578,Live Oak High School,Live Oak,sutter
1579,River Valley High School,Yuba City,sutter
1580,Sutter Union High School,Sutter,sutter
1581,Yuba City High School,Yuba City,sutter
1582,Corning High School,Corning,tehama
1583,Los Molinos High School,Los Molinos,tehama
1584,Mercy High School,Red Bluff,tehama
1585,Red Bluff High School,Red Bluff,tehama
1586,Hayfork High School,Hayfork,trinity
1587,Southern Trinity High School,Mad River,trinity
1588,Trinity High School,Weaverville,trinity
1589,Burton Pathways Charter High School,Porterville,tulare
1590,Butterfield Charter High School,Porterville,tulare
1591,Central Valley Christian High School,Visalia,tulare
1592,Citrus High School,Porterville,tulare
1593,Crescent Valley Public Charter,Tulare,tulare
1594,Crescent Valley Public Charter,Visalia,tulare
1595,Dinuba High School,Dinuba,tulare
1596,El Diamante High School,Visalia,tulare
1597,Exeter High School,Exeter,tulare
1598,Farmersville High School,Farmersville,tulare
1599,Golden West High School,Visalia,tulare
1600,Granite Hills High School,Porterville,tulare
1601,Harmony Magnet Academy High School,Porterville,tulare
1602,La Sierra High School,Visalia,tulare
1603,Lindsay High School,Lindsay,tulare
1604,Mission Oak High School,Tulare,tulare
1605,Monache High School,Porterville,tulare
1606,Mount Whitney High School,Visalia,tulare
1607,Orosi High School,Orosi,tulare
1608,Porterville High School,Porterville,tulare
1609,Prospect Education Center,Porterville,tulare
1610,Redwood High School,Visalia,tulare
1611,Sequoia High School,Visalia,tulare
1612,Strathmore High School,Porterville,tulare
1613,Summit Charter Collegiate High School,Porterville,tulare
1614,Tulare Union High School,Tulare,tulare
1615,Tulare Western High School,Tulare,tulare
1616,University Preparatory High School,Visalia,tulare
1617,Vine Street Community School,Porterville,tulare
1618,Woodlake High School,Woodlake,tulare
1619,Cold Springs High School,Tuolumne,tuolumne
1620,Mountain High School,Pinecrest,tuolumne
1621,Sonora High School,Sonora,tuolumne
1622,Southfork High School,Tuolumne,tuolumne
1623,Summerville Union High School,Tuolumne,tuolumne
1624,Tioga High School,Groveland,tuolumne
1625,Besant Hill School,Ojai,ventura
1626,Buena High School,Ventura,ventura
1627,Cornerstone Christian School,Camarillo,ventura
1628,El Camino High School,Ventura,ventura
1629,Fillmore High School,Fillmore,ventura
1630,Foothill Technology High School,Ventura,ventura
1631,Grace Brethren High School Simi Valley,Ventura,ventura
1632,La Reina High School,Thousand Oaks,ventura
1633,Los Angeles Catholic Archdiocese,Ventura,ventura
1634,Mary B. Perry High School,Camarillo,ventura
1635,Moorpark High School,Moorpark,ventura
1636,Newbury Park Adventist Academy,Newbury Park,ventura
1637,Newbury Park High School,Newbury Park,ventura
1638,Nordhoff High School,Ojai,ventura
1639,Oak Park High School,Oak Park,ventura
1640,Adolfo Camarillo High School,Camarillo,ventura
1641,Channel Islands High School,Oxnard,ventura
1642,Hueneme High School,Oxnard,ventura
1643,Oxnard High School,Oxnard,ventura
1644,Pacifica High School,Oxnard,ventura
1645,Rio Mesa High School,Oxnard,ventura
1646,Royal High School,Simi Valley,ventura
1647,St. Bonaventure High School,Ventura,ventura
1648,Santa Clara High School,Oxnard,ventura
1649,Santa Paula High School,Santa Paula,ventura
1650,Santa Susana High School,Simi Valley,ventura
1651,Simi Valley High School,Simi Valley,ventura
1652,The Thacher School,Ojai,ventura
1653,Thousand Oaks High School,Thousand Oaks,ventura
1654,Ventura County Christian School,Ventura,ventura
1655,Ventura High School,Ventura,ventura
1656,Villanova Preparatory School,Ojai,ventura
1657,Vista Real Charter High School,Oxnard,ventura
1658,Vista Real Charter High School,Santa Paula,ventura
1659,Vista Real Charter High School,Simi Valley,ventura
1660,Vista Real Charter High School,Ventura,ventura
1661,Weil Tennis Academy & College Prep School,Ojai,ventura
1662,Westlake High School,Westlake Village,ventura
1663,Cache Creek High School,Yolo,yolo
1664,Davis Senior High School,Davis,yolo
1665,Delta High School,Clarksburg,yolo
1666,Esparto High School,Esparto,yolo
1667,Leonardo da Vinci High School,Davis,yolo
1668,Martin Luther King High,Davis,yolo
1669,Pioneer High School,Woodland,yolo
1670,River City High School,West Sacramento,yolo
1671,Winters High School,Winters,yolo
1672,Woodland High School,Woodland,yolo
1673,Lindhurst High School,Olivehurst,yuba
1674,Marysville Charter Academy for the Arts,Marysville,yuba
1675,Marysville High School,Marysville,yuba
1676,New Life Christian School,Linda,yuba
1677,Wheatland High School,Wheatland,yuba
