Cohort,Cohort Total Count,College,Geographic Area,Federal Ethnicity,N,% of Col1,% of Pop
First-Time Freshmen Fall 2019,4599,College of Engineering,Sacramento Area,Asian,6,6,6
First-Time Freshmen Fall 2019,4599,College of Engineering,Sacramento Area,White,5,5,5
First-Time Freshmen Fall 2019,4599,College of Engineering,San Diego,Asian,3,3,3
First-Time Freshmen Fall 2019,4599,College of Engineering,San Diego,Multi,1,1,1
First-Time Freshmen Fall 2019,4599,College of Engineering,San Diego,White,4,4,4
First-Time Freshmen Fall 2019,4599,College of Engineering,San Francisco Bay Area,African American,2,2,2
First-Time Freshmen Fall 2019,4599,College of Engineering,San Francisco Bay Area,Asian,28,28,28
First-Time Freshmen Fall 2019,4599,College of Engineering,San Francisco Bay Area,Hispanic Latino,3,3,3
First-Time Freshmen Fall 2019,4599,College of Engineering,San Francisco Bay Area,Multi,5,5,5
First-Time Freshmen Fall 2019,4599,College of Engineering,San Francisco Bay Area,Non-Resident,2,2,2
First-Time Freshmen Fall 2019,4599,College of Engineering,San Francisco Bay Area,Unknown,1,1,1
First-Time Freshmen Fall 2019,4599,College of Engineering,San Francisco Bay Area,White,12,12,12
First-Time Freshmen Fall 2019,4599,College of Engineering,San Joaquin,African American,1,1,1
First-Time Freshmen Fall 2019,4599,College of Engineering,San Joaquin,Asian,6,6,6
First-Time Freshmen Fall 2019,4599,College of Engineering,San Joaquin,Hispanic Latino,8,8,8
First-Time Freshmen Fall 2019,4599,College of Engineering,San Joaquin,White,5,5,5
New Transfers Fall 2017,851,College of Engineering,Central Coast,Asian,2,2,2
New Transfers Fall 2017,851,College of Engineering,Central Coast,Hispanic Latino,9,9,9
New Transfers Fall 2017,851,College of Engineering,Central Coast,Non-Resident,1,1,1
New Transfers Fall 2017,851,College of Engineering,Central Coast,White,11,11,11
New Transfers Fall 2017,851,College of Engineering,Foreign Countries,Non-Resident,2,2,2
New Transfers Fall 2017,851,College of Engineering,Los Angeles,Asian,1,1,1
New Transfers Fall 2017,851,College of Engineering,Los Angeles,Hispanic Latino,2,2,2
New Transfers Fall 2017,851,College of Engineering,Los Angeles,Non-Resident,4,4,4
New Transfers Fall 2017,851,College of Engineering,Los Angeles,White,2,2,2
New Transfers Fall 2017,851,College of Engineering,Other CA Counties,Hispanic Latino,1,1,1
New Transfers Fall 2017,851,College of Engineering,Other US States,Asian,1,1,1
New Transfers Fall 2017,851,College of Engineering,Other US States,Non-Resident,1,1,1
New Transfers Fall 2017,851,College of Engineering,Other US States,White,1,1,1
New Transfers Fall 2017,851,College of Engineering,Sacramento Area,Asian,1,1,1
New Transfers Fall 2017,851,College of Engineering,San Diego,Hispanic Latino,1,1,1
New Transfers Fall 2017,851,College of Engineering,San Francisco Bay Area,Asian,6,6,6
New Transfers Fall 2017,851,College of Engineering,San Francisco Bay Area,Multi,1,1,1
New Transfers Fall 2017,851,College of Engineering,San Francisco Bay Area,Non-Resident,3,3,3
New Transfers Fall 2017,851,College of Engineering,San Francisco Bay Area,Unknown,1,1,1
New Transfers Fall 2017,851,College of Engineering,San Francisco Bay Area,White,3,3,3
New Transfers Fall 2017,851,College of Engineering,San Joaquin,Hispanic Latino,2,2,2
New Transfers Fall 2017,851,College of Engineering,San Joaquin,Multi,1,1,1
New Transfers Fall 2017,851,College of Engineering,San Joaquin,White,2,2,2
New Transfers Fall 2018,834,College of Engineering,Central Coast,Asian,2,2,2
New Transfers Fall 2018,834,College of Engineering,Central Coast,Hispanic Latino,4,4,4
New Transfers Fall 2018,834,College of Engineering,Central Coast,Non-Resident,2,2,2
New Transfers Fall 2018,834,College of Engineering,Central Coast,White,4,4,4
New Transfers Fall 2018,834,College of Engineering,Foreign Countries,Non-Resident,2,2,2
New Transfers Fall 2018,834,College of Engineering,Los Angeles,African American,1,1,1
New Transfers Fall 2018,834,College of Engineering,Los Angeles,Hispanic Latino,2,2,2
New Transfers Fall 2018,834,College of Engineering,Los Angeles,Unknown,1,1,1
New Transfers Fall 2018,834,College of Engineering,Los Angeles,White,1,1,1
New Transfers Fall 2018,834,College of Engineering,Other CA Counties,Hispanic Latino,1,1,1
New Transfers Fall 2018,834,College of Engineering,Other CA Counties,Multi,1,1,1
New Transfers Fall 2018,834,College of Engineering,Other US States,White,1,1,1
New Transfers Fall 2018,834,College of Engineering,Sacramento Area,Unknown,1,1,1
New Transfers Fall 2018,834,College of Engineering,Sacramento Area,White,2,2,2
New Transfers Fall 2018,834,College of Engineering,San Diego,White,1,1,1
New Transfers Fall 2018,834,College of Engineering,San Francisco Bay Area,Hispanic Latino,1,1,1
New Transfers Fall 2018,834,College of Engineering,San Francisco Bay Area,Multi,1,1,1
New Transfers Fall 2018,834,College of Engineering,San Francisco Bay Area,Unknown,1,1,1
New Transfers Fall 2018,834,College of Engineering,San Francisco Bay Area,White,3,3,3
New Transfers Fall 2018,834,College of Engineering,San Joaquin,Asian,1,1,1
New Transfers Fall 2019,753,College of Engineering,Central Coast,Hispanic Latino,4,4,4
New Transfers Fall 2019,753,College of Engineering,Central Coast,Non-Resident,1,1,1
New Transfers Fall 2019,753,College of Engineering,Central Coast,Unknown,1,1,1
New Transfers Fall 2019,753,College of Engineering,Central Coast,White,6,6,6
New Transfers Fall 2019,753,College of Engineering,Foreign Countries,Non-Resident,4,4,4
New Transfers Fall 2019,753,College of Engineering,Los Angeles,Multi,1,1,1
New Transfers Fall 2019,753,College of Engineering,Los Angeles,Non-Resident,1,1,1
New Transfers Fall 2019,753,College of Engineering,Other US States,White,2,2,2
New Transfers Fall 2019,753,College of Engineering,San Francisco Bay Area,Asian,2,2,2
New Transfers Fall 2019,753,College of Engineering,San Francisco Bay Area,Hispanic Latino,1,1,1
New Transfers Fall 2019,753,College of Engineering,San Francisco Bay Area,Non-Resident,1,1,1
New Transfers Fall 2019,753,College of Engineering,San Francisco Bay Area,White,1,1,1
New Transfers Fall 2019,753,College of Engineering,San Joaquin,Asian,1,1,1
New Transfers Fall 2019,753,College of Engineering,San Joaquin,Hispanic Latino,1,1,1
