,School,City,County
1097,Presentation High School,San Jose,Santa Clara County
1098,Saint Francis High School,Mountain View,Santa Clara County
1099,Abraham Lincoln High School,San Jose,Santa Clara County
1100,Downtown College Prep,San Jose,Santa Clara County
1101,Gunderson High School,San Jose,Santa Clara County
1102,Leland High School,San Jose,Santa Clara County
1103,Middle College High,San Jose,Santa Clara County
1104,Pioneer High School,San Jose,Santa Clara County
1105,San Jose High Academy,San Jose,Santa Clara County
1106,Willow Glen High School,San Jose,Santa Clara County
1107,Adrian C. Wilcox High School,Santa Clara,Santa Clara County
1108,Santa Clara High School,Santa Clara,Santa Clara County
1109,Beacon School,San Jose,Santa Clara County
1110,Cambrian Academy,San Jose,Santa Clara County
1111,Castilleja School,Palo Alto,Santa Clara County
1112,Communitas Charter High School,San Jose,Santa Clara County
1113,The Harker School,San Jose,Santa Clara County
1114,Kehillah Jewish High School,Palo Alto,Santa Clara County
1115,The King's Academy,[3] Sunnyvale,Santa Clara County
1116,Liberty Baptist School,San Jose,Santa Clara County
1117,Mountain View Academy,Mountain View,Santa Clara County
1118,Oakwood High School,Morgan Hill,Santa Clara County
1119,Our Shepherd's Academy,San Jose,Santa Clara County
1120,Palo Alto Preparatory School,Palo Alto,Santa Clara County
1121,Pine Hill School,San Jose,Santa Clara County
1122,Pinewood School,Los Altos Hills,Santa Clara County
1123,Thomas More School,San Jose,Santa Clara County
1124,University Preparatory Academy,San Jose,Santa Clara County
1125,Valley Christian High School,San Jose,Santa Clara County
1126,White Road Baptist Academy,San Jose,Santa Clara County
1127,Aptos High School,Aptos,Santa Cruz County
1128,Costanoa Continuation High School,Santa Cruz,Santa Cruz County
1129,Cypress Charter High School,Live Oak,Santa Cruz County
1130,Delta Charter School,Santa Cruz,Santa Cruz County
1131,Georgiana Bruce Kirby Preparatory School,Santa Cruz,Santa Cruz County
1132,Harbor High School,Santa Cruz,Santa Cruz County
1133,MCP Middle and High School,Santa Cruz,Santa Cruz County
1134,Monte Vista Christian School,Watsonville,Santa Cruz County
1135,Monterey Bay Academy,Watsonville,Santa Cruz County
1136,Pacific Collegiate School,Santa Cruz,Santa Cruz County
1137,Pajaro Valley High School,Watsonville,Santa Cruz County
1138,Saint Francis Central Coast Catholic High School,Watsonville,Santa Cruz County
1139,San Lorenzo Valley High School,Felton,Santa Cruz County
1140,Santa Cruz High School,Santa Cruz,Santa Cruz County
1141,Santa Cruz Waldorf High School,Santa Cruz,Santa Cruz County
1142,Scotts Valley High School,Scotts Valley,Santa Cruz County
1143,Soquel High School,Soquel,Santa Cruz County
1144,Watsonville High School,Watsonville,Santa Cruz County
1145,Anderson New Technology High School,Anderson,Shasta County
1146,Anderson Union High School,Anderson,Shasta County
1147,Bishop Quinn High School,Palo Cedro,Shasta County
1148,Burney High School,Burney,Shasta County
1149,Central Valley High School,Shasta Lake,Shasta County
1150,Enterprise High School,Redding,Shasta County
1151,Fall River High School,McArthur,Shasta County
1152,Foothill High School,Palo Cedro,Shasta County
1153,Liberty Christian High School,Redding,Shasta County
1154,Nawa Academy,French Gulch,Shasta County
1155,Redding Christian High School,Redding,Shasta County
1156,Shasta High School,Redding,Shasta County
1157,Stellar Charter School,Redding,Shasta County
1158,University Preparatory School,Redding,Shasta County
1159,West Valley High School,Cottonwood,Shasta County
1160,Downieville School,Downieville,Sierra County
1161,Loyalton High School,Loyalton,Sierra County
1162,Pliocene Ridge Junior-Senior High School,North San Juan,Sierra County
1163,Butte Valley High School,Dorris,Siskiyou County
1164,Cascade High School,Dorris,Siskiyou County
1165,Dunsmuir High School,Dunsmuir,Siskiyou County
1166,Etna High School,Etna,Siskiyou County
1167,Scott River High School,Etna,Siskiyou County
1168,Golden Eagle Charter School,Mount Shasta,Siskiyou County
1169,Happy Camp High School,Happy Camp,Siskiyou County
1170,Jefferson High School,Mount Shasta,Siskiyou County
1171,McButt High School,McButt,Siskiyou County
1172,Mount Shasta High School,Mount Shasta,Siskiyou County
1173,Weed High School,Weed,Siskiyou County
1174,Tulelake Continuation High School,Tulelake,Siskiyou County
1175,Tulelake High School,Tulelake,Siskiyou County
1176,Discovery High School,Yreka,Siskiyou County
1177,Yreka High School,Yreka,Siskiyou County
1178,Benicia High School,Benicia,Solano County
1179,Buckingham Charter Magnet High School,Vacaville,Solano County
1180,Dixon High School,Dixon,Solano County
1181,Angelo Rodriguez High School,Fairfield,Solano County
1182,Armijo High School,Fairfield,Solano County
1183,Fairfield High School,Fairfield,Solano County
1184,Sem Yeto High School,Fairfield,Solano County
1185,Hogan High School,Vallejo,Solano County
1186,Jesse M. Bethel High School,Vallejo,Solano County
1187,Mare Island Technology Academy,Vallejo,Solano County
1188,Mary Bird School,Fairfield,Solano County
1189,Rio Vista High School,Rio Vista,Solano County
1190,St. Patrick-St. Vincent High School,Vallejo,Solano County
1191,Vacaville Christian High School,Vacaville,Solano County
1192,Vacaville High School,Vacaville,Solano County
1193,Vallejo High School,Vallejo,Solano County
1194,Vanden High School,Fairfield,Solano County
1195,Will C. Wood High School,Vacaville,Solano County
1196,Analy High School,Sebastopol,Sonoma County
1197,Cardinal Newman High School,Santa Rosa,Sonoma County
1198,Casa Grande High School,Petaluma,Sonoma County
1199,Cloverdale High School,Cloverdale,Sonoma County
1200,El Camino High School,Rohnert Park,Sonoma County
1201,El Molino High School,Forestville,Sonoma County
1202,Elsie Allen High School,Santa Rosa,Sonoma County
1203,Geyserville Educational Park High School,Geyserville,Sonoma County
1204,Healdsburg High School,Healdsburg,Sonoma County
1205,Journey High School,Sebastopol,Sonoma County
1206,Maria Carrillo High School,Santa Rosa,Sonoma County
1207,Montgomery High School,Santa Rosa,Sonoma County
1208,Nonesuch High School,Sebastopol,Sonoma County
1209,Petaluma High School,Petaluma,Sonoma County
1210,Piner High School,Santa Rosa,Sonoma County
1211,Rancho Cotate High School,Rohnert Park,Sonoma County
1212,Rincon Valley Christian School,Santa Rosa,Sonoma County
1213,Rio Lindo Adventist Academy,Healdsburg,Sonoma County
1214,Roseland University Prep,Santa Rosa,Sonoma County
1215,Russian River Charter School,Forestville,Sonoma County
1216,St. Vincent de Paul High School,Petaluma,Sonoma County
1217,Santa Rosa High School,Santa Rosa,Sonoma County
1218,Sonoma Academy,Santa Rosa,Sonoma County
1219,Sonoma Mountain High School,Petaluma,Sonoma County
1220,Sonoma Valley High School,Sonoma,Sonoma County
1221,Summerfield Waldorf High School[4] Santa Rosa,Fairfield,Sonoma County
1222,Technology High School,Rohnert Park,Sonoma County
1223,Ursuline High School,Santa Rosa,Sonoma County
1224,Windsor High School,Windsor,Sonoma County
1225,Windsor Oaks Academy,Windsor,Sonoma County
1226,Big Valley Grace Christian High School,Modesto,Stanislaus County
1227,Brethren Heritage School,Modesto,Stanislaus County
1228,Central Catholic High School,Modesto,Stanislaus County
1229,Central Valley High School,Ceres,Stanislaus County
1230,Ceres High School,Ceres,Stanislaus County
1231,Community Middle College,Modesto,Stanislaus County
1232,Denair High School,Denair,Stanislaus County
1233,Fred C. Beyer High School,Modesto,Stanislaus County
1234,Grace M. Davis High School,Modesto,Stanislaus County
1235,Hughson Union High School,Hughson,Stanislaus County
1236,James C. Enochs High School,Modesto,Stanislaus County
1237,John H. Pitman High School,Turlock,Stanislaus County
1238,Joseph Gregori High School,Modesto,Stanislaus County
1239,Keyes to Learning Charter School,Keyes,Stanislaus County
1240,Modesto Christian High School,Modesto,Stanislaus County
1241,Modesto High School,Modesto,Stanislaus County
1242,Oakdale High School,Oakdale,Stanislaus County
1243,Orestimba High School,Newman,Stanislaus County
1244,Patterson High School,Patterson,Stanislaus County
1245,Peter Johansen High School,Modesto,Stanislaus County
1246,Riverbank High School,Riverbank,Stanislaus County
1247,Thomas Downey High School,Modesto,Stanislaus County
1248,Turlock Christian High School,Turlock,Stanislaus County
1249,Turlock High School,Turlock,Stanislaus County
1250,Valley Business High School,Modesto,Stanislaus County
1251,Waterford High School,Waterford,Stanislaus County
1252,East Nicolaus High School,Nicolaus,Sutter County
1253,Faith Christian Junior-Senior High School,Yuba City,Sutter County
1254,Live Oak High School,Live Oak,Sutter County
1255,River Valley High School,Yuba City,Sutter County
1256,Sutter Union High School,Sutter,Sutter County
1257,Yuba City High School,Yuba City,Sutter County
1258,Corning High School,Corning,Tehama County
1259,Los Molinos High School,Los Molinos,Tehama County
1260,Mercy High School,Red Bluff,Tehama County
1261,Red Bluff High School,Red Bluff,Tehama County
1262,Hayfork High School,Hayfork,Trinity County
1263,Southern Trinity High School,Mad River (address in Bridgeville in Humboldt County),Trinity County
1264,Trinity High School,Weaverville,Trinity County
1265,Burton Pathways Charter High School,Porterville,Tulare County
1266,Butterfield Charter High School,Porterville,Tulare County
1267,Central Valley Christian High School,Visalia,Tulare County
1268,Citrus High School,Porterville,Tulare County
1269,Crescent Valley Public Charter,Tulare,Tulare County
1270,Crescent Valley Public Charter,Visalia,Tulare County
1271,Dinuba High School,Dinuba,Tulare County
1272,El Diamante High School,Visalia,Tulare County
1273,Exeter High School,Exeter,Tulare County
1274,Farmersville High School,Farmersville,Tulare County
1275,Golden West High School,Visalia,Tulare County
1276,Granite Hills High School,Porterville,Tulare County
1277,Harmony Magnet Academy High School,Porterville,Tulare County
1278,La Sierra High School,Visalia,Tulare County
1279,Lindsay High School,Lindsay,Tulare County
1280,Mission Oak High School,Tulare,Tulare County
1281,Monache High School,Porterville,Tulare County
1282,Mount Whitney High School,Visalia,Tulare County
1283,Orosi High School,Orosi,Tulare County
1284,Porterville High School,Porterville,Tulare County
1285,Prospect Education Center,Porterville,Tulare County
1286,Redwood High School,Visalia,Tulare County
1287,Sequoia High School,Visalia,Tulare County
1288,Strathmore High School,Porterville,Tulare County
1289,Summit Charter Collegiate High School,Porterville,Tulare County
1290,Tulare Union High School,Tulare,Tulare County
1291,Tulare Western High School,Tulare,Tulare County
1292,University Preparatory High School,Visalia,Tulare County
1293,Vine Street Community School,Porterville,Tulare County
1294,Woodlake High School,Woodlake,Tulare County
1295,Cold Springs High School,Tuolumne,Tuolumne County
1296,Mountain High School,Pinecrest,Tuolumne County
1297,Sonora High School,Sonora,Tuolumne County
1298,Southfork High School,Tuolumne,Tuolumne County
1299,Summerville Union High School,Tuolumne,Tuolumne County
1300,Tioga High School,Groveland,Tuolumne County
1301,Besant Hill School,Ojai,Ventura County
1302,Buena High School,Ventura,Ventura County
1303,Cornerstone Christian School,Camarillo,Ventura County
1304,El Camino High School,Ventura,Ventura County
1305,Fillmore High School,Fillmore,Ventura County
1306,Foothill Technology High School,Ventura,Ventura County
1307,Grace Brethren High School Simi Valley,Fairfield,Ventura County
1308,La Reina High School,Thousand Oaks,Ventura County
1309,Los Angeles Catholic Archdiocese,Fairfield,Ventura County
1310,Mary B. Perry High School,Camarillo,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1311,Moorpark High School,Moorpark,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1312,Newbury Park Adventist Academy,Newbury Park,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1313,Newbury Park High School,Newbury Park,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1314,Nordhoff High School,Ojai,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1315,Oak Park High School,Oak Park,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1316,Adolfo Camarillo High School,Camarillo,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1317,Channel Islands High School,Oxnard,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1318,Hueneme High School,Oxnard,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1319,Oxnard High School,Oxnard,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1320,Pacifica High School,Oxnard,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1321,Rio Mesa High School,Oxnard,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1322,Royal High School,Simi Valley,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1323,St. Bonaventure High School,Ventura,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1324,Santa Clara High School,Oxnard,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1325,Santa Paula High School,Santa Paula,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1326,Santa Susana High School,Simi Valley,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1327,Simi Valley High School,Simi Valley,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1328,The Thacher School,Ojai,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1329,Thousand Oaks High School,Thousand Oaks,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1330,Ventura County Christian School,Ventura [5],Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1331,Ventura High School,Ventura,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1332,Villanova Preparatory School,Ojai,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1333,Vista Real Charter High School,Oxnard,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1334,Vista Real Charter High School,Santa Paula,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1335,Vista Real Charter High School,Simi Valley,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1336,Vista Real Charter High School,Ventura,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1337,Weil Tennis Academy & College Prep School,Ojai,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1338,Westlake High School,Westlake Village,Main article: List of schools in the Roman Catholic Archdiocese of Los Angeles
1339,Cache Creek High School,Yolo,Yolo County
1340,Davis Senior High School,Davis,Yolo County
1341,Delta High School,Clarksburg,Yolo County
1342,Esparto High School,Esparto,Yolo County
1343,Leonardo da Vinci High School,Davis,Yolo County
1344,Martin Luther King High,Davis,Yolo County
1345,Pioneer High School,Woodland,Yolo County
1346,River City High School,West Sacramento,Yolo County
1347,Winters High School,Winters,Yolo County
1348,Woodland High School,Woodland,Yolo County
1349,Lindhurst High School,Olivehurst,Yuba County
1350,Marysville Charter Academy for the Arts,Marysville,Yuba County
1351,Marysville High School,Marysville,Yuba County
1352,New Life Christian School,Linda,Yuba County
1353,Wheatland High School,Wheatland,Yuba County
