,School,City,County,Religion
1111,Diego Valley Charter High School,El Cajon,san diego,None
1112,Chaparral High School,El Cajon,san diego,None
1113,El Cajon Valley High School,El Cajon,san diego,None
1114,El Capitan High School,Lakeside,san diego,None
1115,Granite Hills High School,El Cajon,san diego,None
1116,Grossmont High School,La Mesa/El Cajon,san diego,None
1117,Grossmont Middle College High School,El Cajon,san diego,None
1118,Helix High School,La Mesa,san diego,None
1119,Monte Vista High School,Spring Valley,san diego,None
1120,Mount Miguel High School,Spring Valley,san diego,None
1121,Santana High School,Santee,san diego,None
1122,Steele Canyon High School,Spring Valley,san diego,None
1123,Valhalla High School,El Cajon,san diego,None
1124,West Hills High School,Santee,san diego,None
1125,Julian High School,Julian,san diego,None
1126,Redding  High (continuation),Julian,san diego,None
1127,Summit High Community Day,Julian,san diego,None
1128,Mountain Empire High School,Pine Valley,san diego,None
1129,Diego Valley Charter High School,Oceanside,san diego,None
1130,El Camino High School,Oceanside,san diego,None
1131,Oceanside High School,Oceanside,san diego,None
1132,Oceanside School of Business and Technology,Oceanside,san diego,None
1133,Pacific View Charter School,Oceanside,san diego,None
1134,Abraxas High School,Poway,san diego,None
1135,Del Norte High School,San Diego,san diego,None
1136,Mount Carmel High School,San Diego,san diego,None
1137,Poway High School,Poway,san diego,None
1138,Rancho Bernardo High School,San Diego,san diego,None
1139,Westview High School,San Diego,san diego,None
1140,Montecito High School,Ramona,san diego,None
1141,Mountain Valley Academy High School,Ramona,san diego,None
1142,Ramona High School,Ramona,san diego,None
1143,Monarch School,San Diego,san diego,None
1144,Canyon Crest Academy,San Diego,san diego,None
1145,La Costa Canyon High School,Carlsbad,san diego,None
1146,North Coast High School,Encinitas,san diego,None
1147,San Dieguito Academy,Encinitas,san diego,None
1148,Sunset High School,Encinitas,san diego,None
1149,Torrey Pines High School,San Diego,san diego,None
1150,Bayshore Prep Charter School,San Marcos,san diego,None
1151,Foothills High,San Marcos,san diego,None
1152,Mission Hills High School,San Marcos,san diego,None
1153,San Marcos High School,San Marcos,san diego,None
1154,Twin Oaks High School,San Marcos,san diego,None
1155,Bonita Vista High School,Chula Vista,san diego,None
1156,Castle Park High School,Chula Vista,san diego,None
1157,Chula Vista High School,Chula Vista,san diego,None
1158,Eastlake High School,Chula Vista,san diego,None
1159,Hilltop High School,Chula Vista,san diego,None
1160,MAAC Community Charter School,Chula Vista,san diego,None
1161,Mar Vista High School,Imperial Beach,san diego,None
1162,Montgomery High School,San Diego,san diego,None
1163,Olympian High School,Chula Vista,san diego,None
1164,Options Secondary School,Chula Vista,san diego,None
1165,Otay Ranch High School,Chula Vista,san diego,None
1166,Palomar High School,Chula Vista,san diego,None
1167,San Ysidro High School,San Diego,san diego,None
1168,Southwest High School,San Diego,san diego,None
1169,Sweetwater High School,National City,san diego,None
1170,Oak Glen High School,Valley Center,san diego,None
1171,Valley Center Adult Education,Valley Center,san diego,None
1172,Valley Center High School,Valley Center,san diego,None
1173,Valley Center Independent Study,Valley Center,san diego,None
1174,Diego Valley Charter High School,Vista,san diego,None
1175,Guajome Park Academy,Vista,san diego,None
1176,Mission Vista High School,Oceanside,san diego,None
1177,North County Trade Tech High School,Vista,san diego,None
1178,Rancho Buena Vista High School,Vista,san diego,None
1179,Vista High School,Vista,san diego,None
1180,San Jose Valley Continuation High School,Warner Springs,san diego,None
1181,Warner Middle / High School,Warner Springs,san diego,None
1182,Ocean View Christian Academy,San Diego,san diego,Christian
1183,Academy of Our Lady of Peace,San Diego,san diego,Christian
1184,Saint Augustine High School,San Diego,san diego,Christian
1185,Mater Dei Catholic High School,San Diego,san diego,Christian
1186,Cathedral Catholic High School,San Diego,san diego,Christian
1187,The Bishop's School,La Jolla,san diego,Christian
1188,San Diego Jewish Academy,San Diego,san diego,Jewish
1189,Southern California Yeshiva High School,San Diego,san diego,Jewish
1190,Torah High Schools of San Diego,San Diego,san diego,Jewish
1191,Victory Christian Academy,San Diego,san diego,Christian
1192,Escondido Adventist Academy,Escondido,san diego,Christian
1193,San Diego Academy,National City,san diego,Christian
1194,Army and Navy Academy,Carlsbad,san diego,Christian
1195,Maranatha Christian Schools,San Diego,san diego,Christian
1196,Calvin Christian School,Escondido,san diego,Christian
1197,Santa Fe Christian Schools,Solana Beach,san diego,Christian
1198,Horizon Christian Academy,San Diego,san diego,Christian
1199,Horizon Prep School,Rancho Santa Fe,san diego,Christian
1200,The Child's Primary School,San Diego,san diego,Christian
1201,Carlsbad Seaside Academy,Carlsbad,san diego,Christian
1202,Carlsbad Village Academy,Carlsbad,san diego,Christian
1203,Francis W. Parker School,San Diego,san diego,Christian
1204,Fusion Academy,Del Mar,san diego,Christian
1205,The Grauer School,Encinitas,san diego,Christian
1206,Halstrom High School,Oceanside,san diego,Christian
1207,Halstrom High School,San Diego,san diego,Christian
1208,La Jolla Country Day School,La Jolla,san diego,Christian
1209,Pacific Academy International,Encinitas,san diego,Christian
1210,Pacific Ridge School,Carlsbad,san diego,Christian
1211,San Diego French American School,La Jolla,san diego,Christian
1212,The Waldorf School of San Diego High School,San Diego,san diego,Christian
1213,Leeway Sudbury School,San Diego,san diego,Christian
1214,High Bluff Academy,San Diego,san diego,Christian
1215,Abraham Lincoln High School,San Francisco,san francisco,None
1216,Academy of Arts & Sciences,San Francisco,san francisco,None
1217,Balboa High School,San Francisco,san francisco,None
1218,Downtown High School,San Francisco,san francisco,None
1219,Galileo Academy of Science and Technology,San Francisco,san francisco,None
1220,George Washington High School,San Francisco,san francisco,None
1221,Ida B. Wells Continuation High School,San Francisco,san francisco,None
1222,Independence High School,San Francisco,san francisco,None
1223,International Studies Academy,San Francisco,san francisco,None
1224,John A. O'Connell High School,San Francisco,san francisco,None
1225,June Jordan School for Equity,San Francisco,san francisco,None
1226,Lowell High School,San Francisco,san francisco,None
1227,Mission High School,San Francisco,san francisco,None
1228,Phillip & Sala Burton High School,San Francisco,san francisco,None
1229,Raoul Wallenberg Traditional High School,San Francisco,san francisco,None
1230,San Francisco Flex Academy,San Francisco,san francisco,None
1231,San Francisco International High School,San Francisco,san francisco,None
1232,School of the Arts,San Francisco,san francisco,None
1233,Thurgood Marshall Academic High School,San Francisco,san francisco,None
1234,City Arts & Technology,San Francisco,san francisco,None
1235,Gateway High School,San Francisco,san francisco,None
1236,KIPP San Francisco College Preparatory,San Francisco,san francisco,None
1237,Leadership High School,San Francisco,san francisco,None
1238,The Bay School of San Francisco,San Francisco,san francisco,None
1239,Cornerstone Academy,San Francisco,san francisco,None
1240,Drew School,San Francisco,san francisco,None
1241,Fusion Academy,San Francisco,san francisco,None
1242,Hillwood Academic Day School,San Francisco,san francisco,None
1243,International High School of San Francisco,San Francisco,san francisco,None
1244,Jewish Community High School of the Bay,San Francisco,san francisco,None
1245,Lick-Wilmerding High School,San Francisco,san francisco,None
1246,Lycée Français La Pérouse,San Francisco,san francisco,None
1247,Proof School,San Francisco,san francisco,None
1248,Saint John of San Francisco Orthodox Academy,San Francisco,san francisco,None
1249,San Francisco Christian,San Francisco,san francisco,None
1250,San Francisco University High School,San Francisco,san francisco,None
1251,San Francisco Waldorf High School,San Francisco,san francisco,None
1252,The Urban School of San Francisco,San Francisco,san francisco,None
1253,Woodside International School,San Francisco,san francisco,None
1254,Youth Chance High School,San Francisco,san francisco,None
1255,Archbishop Riordan High School,San Francisco,san francisco,Christian
1256,Convent of the Sacred Heart High School,San Francisco,san francisco,Christian
1257,Immaculate Conception Academy,San Francisco,san francisco,Christian
1258,Mercy High School,San Francisco,san francisco,Christian
1259,Sacred Heart Cathedral Preparatory,San Francisco,san francisco,Christian
1260,St. Ignatius College Preparatory,San Francisco,san francisco,Christian
1261,Stuart Hall High School,San Francisco,san francisco,Christian
1262,Escalon High School,Escalon,san joaquin,Christian
1263,Mountain House High School,Mountain House,san joaquin,Christian
1264,Lincoln High School,Stockton,san joaquin,Christian
1265,Linden High School,Linden,san joaquin,Christian
1266,Lodi Academy,Lodi,san joaquin,Christian
1267,Bear Creek High School,Stockton,san joaquin,Christian
1268,Lodi High School,Lodi,san joaquin,Christian
1269,Middle College High School,Stockton,san joaquin,Christian
1270,Ronald E. McNair High School,Stockton,san joaquin,Christian
1271,Tokay High School,Lodi,san joaquin,Christian
1272,Calla Alternative High School,Manteca,san joaquin,Christian
1273,East Union High School,Manteca,san joaquin,Christian
1274,Lathrop High School,Lathrop,san joaquin,Christian
1275,Manteca Day School,Manteca,san joaquin,Christian
1276,Manteca High School,Manteca,san joaquin,Christian
1277,New Vision Alternative High School,Stockton,san joaquin,Christian
1278,Sierra High School,Manteca,san joaquin,Christian
1279,Weston Ranch High School,Stockton,san joaquin,Christian
1280,Ripon High School,Ripon,san joaquin,Christian
1281,St. Mary's High School,Stockton,san joaquin,Christian
1282,Amos Alonzo Stagg High School,Stockton,san joaquin,Christian
1283,Cesar Chavez High School,Stockton,san joaquin,Christian
1284,Edison High School,Stockton,san joaquin,Christian
1285,Franklin High School,Stockton,san joaquin,Christian
1286,Stockton Collegiate International Schools,Stockton,san joaquin,Christian
1287,Stockton Early College Academy,Stockton,san joaquin,Christian
1288,John Kimball High School,Tracy,san joaquin,Christian
1289,Tracy High School,Tracy,san joaquin,Christian
1290,West High School,Tracy,san joaquin,Christian
1291,Atascadero High School,Atascadero,san luis obispo,Christian
1292,Del Rio Continuation High School,Atascadero,san luis obispo,Christian
1293,California Youth Authority,San Luis Obispo,san luis obispo,Christian
1294,Marie C. Romero High School,Paso Robles,san luis obispo,Christian
1295,Coast Union High School,Cambria,san luis obispo,Christian
1296,Leffingwell Continuation High School,Cambria,san luis obispo,Christian
1297,Arroyo Grande High School,Arroyo Grande,san luis obispo,Christian
1298,Lopez High School,Arroyo Grande,san luis obispo,Christian
1299,Nipomo High School,Nipomo,san luis obispo,Christian
1300,Central Coast New Tech High School,Nipomo,san luis obispo,Christian
1301,Liberty High School,Paso Robles,san luis obispo,Christian
1302,Paso Robles High School,Paso Robles,san luis obispo,Christian
1303,Morro Bay High School,Morro Bay,san luis obispo,Christian
1304,Pacific Beach High School,San Luis Obispo,san luis obispo,Christian
1305,San Luis Obispo High School,San Luis Obispo,san luis obispo,Christian
1306,Shandon High/Middle School,Shandon,san luis obispo,Christian
1307,Eagle Canyon High School,Templeton,san luis obispo,Christian
1308,Templeton High School,Templeton,san luis obispo,Christian
1309,Grizzly Challenge Charter School,San Luis Obispo,san luis obispo,Christian
1310,Mission College Preparatory,San Luis Obispo,san luis obispo,Christian
1311,North County Christian High School,Atascadero,san luis obispo,Christian
1312,San Luis Obispo Classical Academy,San Luis Obispo,san luis obispo,Christian
1313,Design Tech High School,Redwood Shores,san mateo,None
1314,Half Moon Bay High School,Half Moon Bay,san mateo,None
1315,Jefferson High School,Daly City,san mateo,None
1316,Oceana High School,Pacifica,san mateo,None
1317,Terra Nova High School,Pacifica,san mateo,None
1318,Westmoor High School,Daly City,san mateo,None
1319,Ravenswood High School,East Palo Alto,san mateo,None
1320,Urban Pioneer Experiential Academy,San Bruno,san mateo,None
1321,Aragon High School,San Mateo,san mateo,None
1322,Burlingame High School,Burlingame,san mateo,None
1323,Capuchino High School,San Bruno,san mateo,None
1324,Hillsdale High School,San Mateo,san mateo,None
1325,Mills High School,Millbrae,san mateo,None
1326,San Mateo High School,San Mateo,san mateo,None
1327,Carlmont High School,Belmont,san mateo,None
1328,Everest Public High School,Redwood City,san mateo,None
1329,Menlo-Atherton High School,Atherton,san mateo,None
1330,Sequoia High School,Redwood City,san mateo,None
1331,Summit Preparatory Charter High School,Redwood City,san mateo,None
1332,Woodside High School,Woodside,san mateo,None
1333,Baden High School,South San Francisco,san mateo,None
1334,El Camino High School,South San Francisco,san mateo,None
1335,South San Francisco High School,South San Francisco,san mateo,None
1336,Aurora High School,Redwood City,san mateo,None
1337,Crystal Springs Uplands School,Hillsborough,san mateo,None
1338,East Palo Alto Phoenix Academy,East Palo Alto,san mateo,None
1339,Eastside College Preparatory School,East Palo Alto,san mateo,None
1340,German-American International School,Menlo Park,san mateo,None
1341,Junípero Serra High School,San Mateo,san mateo,None
1342,Menlo School,Atherton,san mateo,None
1343,Mercy High School,Burlingame,san mateo,None
1344,Mid-Peninsula High School,Menlo Park,san mateo,None
1345,Notre Dame High School,Belmont,san mateo,None
1346,The Nueva School,Hillsborough,san mateo,None
1347,Pacific Rim International School,San Mateo,san mateo,None
1348,Pescadero High School,Pescadero,san mateo,None
1349,Sacred Heart Prep,Atherton,san mateo,None
1350,Woodside Priory School,Portola Valley,san mateo,None
1351,The Anacapa School,Santa Barbara,santa barbara,None
1352,Bishop Garcia Diego High School,Santa Barbara,santa barbara,None
1353,Cabrillo High School,Lompoc,santa barbara,None
1354,Carpinteria High School,Carpinteria,santa barbara,None
1355,Cate School,Carpinteria,santa barbara,None
1356,Cuyama Valley High School,New Cuyama,santa barbara,None
1357,Dos Pueblos High School,Goleta,santa barbara,None
1358,Ernest Righetti High School,Santa Maria,santa barbara,None
1359,Foothill Alternative High School,Carpinteria,santa barbara,None
1360,Laguna Blanca School,Santa Barbara,santa barbara,None
1361,Lion of Judah Christian Academy,Orcutt,santa barbara,None
1362,Lompoc High School,Lompoc,santa barbara,None
1363,Los Angeles Catholic Archdiocese,Santa Barbara,santa barbara,None
1364,Maple High School,Lompoc,santa barbara,None
1365,Midland School,Los Olivos,santa barbara,None
1366,Pioneer Valley High School,Santa Maria,santa barbara,None
1367,Rincon Continuation High School,Carpinteria,santa barbara,None
1368,St. Joseph High School,Santa Maria,santa barbara,None
1369,San Marcos High School,Santa Barbara,santa barbara,None
1370,Santa Barbara High School,Santa Barbara,santa barbara,None
1371,Santa Barbara Middle School,Santa Barbara,santa barbara,None
1372,Santa Maria High School,Santa Maria,santa barbara,None
1373,Santa Ynez Valley Union High School,Santa Ynez,santa barbara,None
1374,Valley Christian Academy,Santa Maria,santa barbara,None
1375,Boynton High School,San Jose,santa clara,None
1376,Branham High School,San Jose,santa clara,None
1377,Del Mar High School,San Jose,santa clara,None
1378,Leigh High School,San Jose,santa clara,None
1379,Prospect High School,Saratoga,santa clara,None
1380,Stellar Learning Academy,Campbell,santa clara,None
1381,Westmont High School,Campbell,santa clara,None
1382,Andrew P. Hill High School,San Jose,santa clara,None
1383,East Side Cadet Academy,San Jose,santa clara,None
1384,Evergreen Valley High School,San Jose,santa clara,None
1385,Independence High School,San Jose,santa clara,None
1386,James Lick High School,San Jose,santa clara,None
1387,MACSA Academia Calmecac School,San Jose,santa clara,None
1388,Mount Pleasant High School,San Jose,santa clara,None
1389,Oak Grove High School,San Jose,santa clara,None
1390,Piedmont Hills High School,San Jose,santa clara,None
1391,San Jose Conservation Corps Charter School,San Jose,santa clara,None
1392,Santa Teresa High School,San Jose,santa clara,None
1393,Silver Creek High School,San Jose,santa clara,None
1394,William C. Overfelt High School,San Jose,santa clara,None
1395,Yerba Buena High School,San Jose,santa clara,None
1396,Cupertino High School,Cupertino,santa clara,None
1397,Fremont High School,Sunnyvale,santa clara,None
1398,Homestead High School,Cupertino,santa clara,None
1399,Lynbrook High School,San Jose,santa clara,None
1400,Monta Vista High School,Cupertino,santa clara,None
1401,Christopher High School,Gilroy,santa clara,None
1402,Dr. TJ Owens Gilroy Early College Academy,Gilroy,santa clara,None
1403,Gilroy High School,Gilroy,santa clara,None
1404,MACSA Elementary Portal Leadership Academy,San Jose,santa clara,None
1405,Los Gatos High School,Los Gatos,santa clara,None
1406,Saratoga High School,Saratoga,santa clara,None
1407,Milpitas High School,Milpitas,santa clara,None
1408,Ann Sobrato High School,Morgan Hill,santa clara,None
1409,Live Oak High School,Morgan Hill,santa clara,None
1410,Los Altos High School,Los Altos,santa clara,None
1411,Mountain View High School,Mountain View,santa clara,None
1412,Silicon Valley Essential High School,Los Altos,santa clara,None
1413,Gunn High School,Palo Alto,santa clara,None
1414,Palo Alto High School,Palo Alto,santa clara,None
1415,Roman Catholic Diocese of San Jose,Santa Clara,santa clara,None
1416,Archbishop Mitty High School,San Jose,santa clara,None
1417,Bellarmine College Preparatory,San Jose,santa clara,None
1418,Notre Dame High School,San Jose,santa clara,None
1419,Presentation High School,San Jose,santa clara,None
1420,Saint Francis High School,Mountain View,santa clara,None
1421,Abraham Lincoln High School,San Jose,santa clara,None
1422,Downtown College Prep,San Jose,santa clara,None
1423,Gunderson High School,San Jose,santa clara,None
1424,Leland High School,San Jose,santa clara,None
1425,Middle College High,San Jose,santa clara,None
1426,Pioneer High School,San Jose,santa clara,None
1427,San Jose High Academy,San Jose,santa clara,None
1428,Willow Glen High School,San Jose,santa clara,None
1429,Adrian C. Wilcox High School,Santa Clara,santa clara,None
1430,Santa Clara High School,Santa Clara,santa clara,None
1431,Beacon School,San Jose,santa clara,None
1432,Cambrian Academy,San Jose,santa clara,None
1433,Castilleja School,Palo Alto,santa clara,None
1434,Communitas Charter High School,San Jose,santa clara,None
1435,The Harker School,San Jose,santa clara,None
1436,Kehillah Jewish High School,Palo Alto,santa clara,None
1437,The King's Academy,Sunnyvale,santa clara,None
1438,Liberty Baptist School,San Jose,santa clara,None
1439,Mountain View Academy,Mountain View,santa clara,None
1440,Oakwood High School,Morgan Hill,santa clara,None
1441,Our Shepherd's Academy,San Jose,santa clara,None
1442,Palo Alto Preparatory School,Palo Alto,santa clara,None
1443,Pine Hill School,San Jose,santa clara,None
1444,Pinewood School,Los Altos Hills,santa clara,None
1445,Thomas More School,San Jose,santa clara,None
1446,University Preparatory Academy,San Jose,santa clara,None
1447,Valley Christian High School,San Jose,santa clara,None
1448,White Road Baptist Academy,San Jose,santa clara,None
1449,Aptos High School,Aptos,santa cruz,None
1450,Costanoa Continuation High School,Santa Cruz,santa cruz,None
1451,Cypress Charter High School,Live Oak,santa cruz,None
1452,Delta Charter School,Santa Cruz,santa cruz,None
1453,Georgiana Bruce Kirby Preparatory School,Santa Cruz,santa cruz,None
1454,Harbor High School,Santa Cruz,santa cruz,None
1455,MCP Middle and High School,Santa Cruz,santa cruz,None
1456,Monte Vista Christian School,Watsonville,santa cruz,None
1457,Monterey Bay Academy,Watsonville,santa cruz,None
1458,Pacific Collegiate School,Santa Cruz,santa cruz,None
1459,Pajaro Valley High School,Watsonville,santa cruz,None
1460,Saint Francis Central Coast Catholic High School,Watsonville,santa cruz,None
1461,San Lorenzo Valley High School,Felton,santa cruz,None
1462,Santa Cruz High School,Santa Cruz,santa cruz,None
1463,Santa Cruz Waldorf High School,Santa Cruz,santa cruz,None
1464,Scotts Valley High School,Scotts Valley,santa cruz,None
1465,Soquel High School,Soquel,santa cruz,None
1466,Watsonville High School,Watsonville,santa cruz,None
1467,Anderson New Technology High School,Anderson,shasta,None
1468,Anderson Union High School,Anderson,shasta,None
1469,Bishop Quinn High School,Palo Cedro,shasta,None
1470,Burney High School,Burney,shasta,None
1471,Central Valley High School,Shasta Lake,shasta,None
1472,Enterprise High School,Redding,shasta,None
1473,Fall River High School,McArthur,shasta,None
1474,Foothill High School,Palo Cedro,shasta,None
1475,Liberty Christian High School,Redding,shasta,None
1476,Nawa Academy,French Gulch,shasta,None
1477,Redding Christian High School,Redding,shasta,None
1478,Shasta High School,Redding,shasta,None
1479,Stellar Charter School,Redding,shasta,None
1480,University Preparatory School,Redding,shasta,None
1481,West Valley High School,Cottonwood,shasta,None
1482,Downieville School,Downieville,sierra,None
1483,Loyalton High School,Loyalton,sierra,None
1484,Pliocene Ridge Junior-Senior High School,North San Juan,sierra,None
1485,Butte Valley High School,Dorris,siskiyou,None
1486,Cascade High School,Dorris,siskiyou,None
1487,Dunsmuir High School,Dunsmuir,siskiyou,None
1488,Etna High School,Etna,siskiyou,None
1489,Scott River High School,Etna,siskiyou,None
1490,Golden Eagle Charter School,Mount Shasta,siskiyou,None
1491,Happy Camp High School,Happy Camp,siskiyou,None
1492,Jefferson High School,Mount Shasta,siskiyou,None
1493,McButt High School,McButt,siskiyou,None
1494,Mount Shasta High School,Mount Shasta,siskiyou,None
1495,Weed High School,Weed,siskiyou,None
1496,Tulelake Continuation High School,Tulelake,siskiyou,None
1497,Tulelake High School,Tulelake,siskiyou,None
1498,Discovery High School,Yreka,siskiyou,None
1499,Yreka High School,Yreka,siskiyou,None
1500,Benicia High School,Benicia,solano,None
1501,Buckingham Charter Magnet High School,Vacaville,solano,None
1502,Dixon High School,Dixon,solano,None
1503,Angelo Rodriguez High School,Fairfield,solano,None
1504,Armijo High School,Fairfield,solano,None
1505,Fairfield High School,Fairfield,solano,None
1506,Sem Yeto High School,Fairfield,solano,None
1507,Hogan High School,Vallejo,solano,None
1508,Jesse M. Bethel High School,Vallejo,solano,Christian
1509,Mare Island Technology Academy,Vallejo,solano,Christian
1510,Mary Bird School,Fairfield,solano,Christian
1511,Rio Vista High School,Rio Vista,solano,Christian
1512,St. Patrick-St. Vincent High School,Vallejo,solano,Christian
1513,Vacaville Christian High School,Vacaville,solano,Christian
1514,Vacaville High School,Vacaville,solano,Christian
1515,Vallejo High School,Vallejo,solano,Christian
1516,Vanden High School,Fairfield,solano,Christian
1517,Will C. Wood High School,Vacaville,solano,Christian
1518,Analy High School,Sebastopol,sonoma,Christian
1519,Cardinal Newman High School,Santa Rosa,sonoma,Christian
1520,Casa Grande High School,Petaluma,sonoma,Christian
1521,Cloverdale High School,Cloverdale,sonoma,Christian
1522,El Camino High School,Rohnert Park,sonoma,Christian
1523,El Molino High School,Forestville,sonoma,Christian
1524,Elsie Allen High School,Santa Rosa,sonoma,Christian
1525,Geyserville Educational Park High School,Geyserville,sonoma,Christian
1526,Healdsburg High School,Healdsburg,sonoma,Christian
1527,Journey High School,Sebastopol,sonoma,Christian
1528,Maria Carrillo High School,Santa Rosa,sonoma,Christian
1529,Montgomery High School,Santa Rosa,sonoma,Christian
1530,Nonesuch High School,Sebastopol,sonoma,Christian
1531,Petaluma High School,Petaluma,sonoma,Christian
1532,Piner High School,Santa Rosa,sonoma,Christian
1533,Rancho Cotate High School,Rohnert Park,sonoma,Christian
1534,Rincon Valley Christian School,Santa Rosa,sonoma,Christian
1535,Rio Lindo Adventist Academy,Healdsburg,sonoma,Christian
1536,Roseland University Prep,Santa Rosa,sonoma,Christian
1537,Russian River Charter School,Forestville,sonoma,Christian
1538,St. Vincent de Paul High School,Petaluma,sonoma,Christian
1539,Santa Rosa High School,Santa Rosa,sonoma,Christian
1540,Sonoma Academy,Santa Rosa,sonoma,Christian
1541,Sonoma Mountain High School,Petaluma,sonoma,Christian
1542,Sonoma Valley High School,Sonoma,sonoma,Christian
1543,Summerfield Waldorf High School Santa Rosa,Sonoma,sonoma,Christian
1544,Technology High School,Rohnert Park,sonoma,Christian
1545,Ursuline High School,Santa Rosa,sonoma,Christian
1546,Windsor High School,Windsor,sonoma,Christian
1547,Windsor Oaks Academy,Windsor,sonoma,Christian
1548,Big Valley Grace Christian High School,Modesto,stanislaus,Christian
1549,Brethren Heritage School,Modesto,stanislaus,Christian
1550,Central Catholic High School,Modesto,stanislaus,Christian
1551,Central Valley High School,Ceres,stanislaus,Christian
1552,Ceres High School,Ceres,stanislaus,Christian
1553,Community Middle College,Modesto,stanislaus,Christian
1554,Denair High School,Denair,stanislaus,Christian
1555,Fred C. Beyer High School,Modesto,stanislaus,Christian
1556,Grace M. Davis High School,Modesto,stanislaus,Christian
1557,Hughson Union High School,Hughson,stanislaus,Christian
1558,James C. Enochs High School,Modesto,stanislaus,Christian
1559,John H. Pitman High School,Turlock,stanislaus,Christian
1560,Joseph Gregori High School,Modesto,stanislaus,Christian
1561,Keyes to Learning Charter School,Keyes,stanislaus,Christian
1562,Modesto Christian High School,Modesto,stanislaus,Christian
1563,Modesto High School,Modesto,stanislaus,Christian
1564,Oakdale High School,Oakdale,stanislaus,Christian
1565,Orestimba High School,Newman,stanislaus,Christian
1566,Patterson High School,Patterson,stanislaus,Christian
1567,Peter Johansen High School,Modesto,stanislaus,Christian
1568,Riverbank High School,Riverbank,stanislaus,Christian
1569,Thomas Downey High School,Modesto,stanislaus,Christian
1570,Turlock Christian High School,Turlock,stanislaus,Christian
1571,Turlock High School,Turlock,stanislaus,Christian
1572,Valley Business High School,Modesto,stanislaus,Christian
1573,Waterford High School,Waterford,stanislaus,Christian
1574,East Nicolaus High School,Nicolaus,sutter,Christian
1575,Faith Christian Junior-Senior High School,Yuba City,sutter,Christian
1576,Live Oak High School,Live Oak,sutter,Christian
1577,River Valley High School,Yuba City,sutter,Christian
1578,Sutter Union High School,Sutter,sutter,Christian
1579,Yuba City High School,Yuba City,sutter,Christian
1580,Corning High School,Corning,tehama,Christian
1581,Los Molinos High School,Los Molinos,tehama,Christian
1582,Mercy High School,Red Bluff,tehama,Christian
1583,Red Bluff High School,Red Bluff,tehama,Christian
1584,Hayfork High School,Hayfork,trinity,Christian
1585,Southern Trinity High School,Mad River,trinity,Christian
1586,Trinity High School,Weaverville,trinity,Christian
1587,Burton Pathways Charter High School,Porterville,tulare,Christian
1588,Butterfield Charter High School,Porterville,tulare,Christian
1589,Central Valley Christian High School,Visalia,tulare,Christian
1590,Citrus High School,Porterville,tulare,Christian
1591,Crescent Valley Public Charter,Tulare,tulare,Christian
1592,Crescent Valley Public Charter,Visalia,tulare,Christian
1593,Dinuba High School,Dinuba,tulare,Christian
1594,El Diamante High School,Visalia,tulare,Christian
1595,Exeter High School,Exeter,tulare,Christian
1596,Farmersville High School,Farmersville,tulare,Christian
1597,Golden West High School,Visalia,tulare,Christian
1598,Granite Hills High School,Porterville,tulare,Christian
1599,Harmony Magnet Academy High School,Porterville,tulare,Christian
1600,La Sierra High School,Visalia,tulare,Christian
1601,Lindsay High School,Lindsay,tulare,Christian
1602,Mission Oak High School,Tulare,tulare,Christian
1603,Monache High School,Porterville,tulare,Christian
1604,Mount Whitney High School,Visalia,tulare,Christian
1605,Orosi High School,Orosi,tulare,Christian
1606,Porterville High School,Porterville,tulare,Christian
1607,Prospect Education Center,Porterville,tulare,Christian
1608,Redwood High School,Visalia,tulare,Christian
1609,Sequoia High School,Visalia,tulare,Christian
1610,Strathmore High School,Porterville,tulare,Christian
1611,Summit Charter Collegiate High School,Porterville,tulare,Christian
1612,Tulare Union High School,Tulare,tulare,Christian
1613,Tulare Western High School,Tulare,tulare,Christian
1614,University Preparatory High School,Visalia,tulare,Christian
1615,Vine Street Community School,Porterville,tulare,Christian
1616,Woodlake High School,Woodlake,tulare,Christian
1617,Cold Springs High School,Tuolumne,tuolumne,Christian
1618,Mountain High School,Pinecrest,tuolumne,Christian
1619,Sonora High School,Sonora,tuolumne,Christian
1620,Southfork High School,Tuolumne,tuolumne,Christian
1621,Summerville Union High School,Tuolumne,tuolumne,Christian
1622,Tioga High School,Groveland,tuolumne,Christian
1623,Besant Hill School,Ojai,ventura,Christian
1624,Buena High School,Ventura,ventura,Christian
1625,Cornerstone Christian School,Camarillo,ventura,Christian
1626,El Camino High School,Ventura,ventura,Christian
1627,Fillmore High School,Fillmore,ventura,Christian
1628,Foothill Technology High School,Ventura,ventura,Christian
1629,Grace Brethren High School Simi Valley,Ventura,ventura,Christian
1630,La Reina High School,Thousand Oaks,ventura,Christian
1631,Los Angeles Catholic Archdiocese,Ventura,ventura,Christian
1632,Mary B. Perry High School,Camarillo,ventura,Christian
1633,Moorpark High School,Moorpark,ventura,Christian
1634,Newbury Park Adventist Academy,Newbury Park,ventura,Christian
1635,Newbury Park High School,Newbury Park,ventura,Christian
1636,Nordhoff High School,Ojai,ventura,Christian
1637,Oak Park High School,Oak Park,ventura,Christian
1638,Adolfo Camarillo High School,Camarillo,ventura,Christian
1639,Channel Islands High School,Oxnard,ventura,Christian
1640,Hueneme High School,Oxnard,ventura,Christian
1641,Oxnard High School,Oxnard,ventura,Christian
1642,Pacifica High School,Oxnard,ventura,Christian
1643,Rio Mesa High School,Oxnard,ventura,Christian
